Master Inventory — Edit Here Only,,,,,,,
All edits happen on this tab. The Price List (EN) and Lista de Precios (ES) tabs update automatically.,,,,,,,
,,,,,,,
Product,Category,Price (USD),Status,Bulk Discount (EN),Bulk Discount (ES),COA URL,Image URL
GLP-1 5mg,Weight Loss & Metabolism,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1786386496191-bcv9c2-c.webp
GLP-1 10mg,Weight Loss & Metabolism,$125,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1K0so0FR_Wu_dFuVFZVZuH2Osx72SOf6T/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687292293-ihhzto.webp
GLP-1 12mg,Weight Loss & Metabolism,$135,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/96496-GLP-1_12mg_BACTSHBESIDZ,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687326485-newtlx.webp
GLP-1 15mg,Weight Loss & Metabolism,$140,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1kcwayFqG0Mcpdj9wHv0wW_Bb05pLXphS/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687343946-07wxyu.webp
GLP-1 20mg,Weight Loss & Metabolism,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/195tdQyxaR-mkcNe4QA0uEjrzkuwXbWlN/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687358733-bjpf2c.webp
GLP-1 24mg,Weight Loss & Metabolism,$165,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1oUKn_Rph9Dnon5f5guzO7U-lWZf92X9d/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689230649-t1o43.webp
GLP-1 30mg,Weight Loss & Metabolism,$180,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1if3Z0AJuvtLFOIBmkvwUJrAW3-6ojQg9/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689259347-hug1ri.webp
GLP-1 40mg,Weight Loss & Metabolism,$210,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/96498-GLP-1_40mg_MCC5VFX6GXII,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689275510-kve5t8.webp
GLP-1 50mg,Weight Loss & Metabolism,$240,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1VAi5NtihACqTxH_SbC9vNuTWJdhIZmS9/view?usp=sharing,
GLP-1 60mg,Weight Loss & Metabolism,$270,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1783924191359-we154a.png
Tirzepatide 10mg,Weight Loss & Metabolism,$155,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689432369-ykhit9.webp
Tirzepatide 15mg,Weight Loss & Metabolism,$185,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1PuRYPcSvxaVE91K3G2QpA5A2Q9orisRj/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689403845-jkgju9.webp
Tirzepatide 20mg,Weight Loss & Metabolism,$200,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1PuRYPcSvxaVE91K3G2QpA5A2Q9orisRj/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689451901-8m4brj.webp
Tirzepatide 30mg,Weight Loss & Metabolism,$225,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1gDgEggnHZgI-66ME6MIqGd1pb2-_Ui7_/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689357547-4u2668.webp
Tirzepatide 40mg,Weight Loss & Metabolism,$245,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1782145445016-ogzkp79.png
Tirzepatide 60mg,Weight Loss & Metabolism,$285,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1783810536590-5koct6.png
Semaglutide 10mg,Weight Loss & Metabolism,$220,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689340640-wd6x9m.webp
Semaglutide 20mg,Weight Loss & Metabolism,$275,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689330593-fhy9vo.webp
Semaglutide 30mg,Weight Loss & Metabolism,$300,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689317141-zuqdct.webp
Tesamorelin 10mg,Weight Loss & Metabolism,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1GGWwXswE2KOZdjSYKYQ__LCdjKHXDCj3/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687384444-5lydvi.webp
Tesamorelin 20mg,Weight Loss & Metabolism,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1784652491739-06l30c.png
AICAR 50mg,Weight Loss & Metabolism,$95,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1782953849553-8az4s2.png
5-amino-1mq 5mg,Weight Loss & Metabolism,$60,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687398831-8vfsnf.webp
5-amino-1mq 50mg,Weight Loss & Metabolism,$90,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,
Fat Blaster Amino Blend 10ml,Weight Loss & Metabolism,$110,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1782953728808-bbprfn.png
Slu-pp332 5mg,Exercise Mimetic & Metabolic Modulator,$80,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687456289-b5y2l.webp
BPC-157 10mg,Recovery & Healing,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/94973-BPC157_10mg_S64EVVWJIBLE,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687473173-iq4opi.webp
BPC-157 + TB-500 20mg (Wolverine Stack),Recovery & Healing,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/13QUahpzCIOYZrnFgk8xSqL4ewXbCK4tK/view?usp=sharing https://drive.google.com/file/d/1ZkRuudRS_jGmfWkaZDvYvFu_FJzdEBiD/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687491105-dqx5xa.webp
Cartalax 20mg,Recovery & Healing,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1783397685291-qipeb.png
KLOW 80mg,Recovery & Healing,$180,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1cAuKeeK_Ftrpi5zQ6mCpwLZ41qfDjnHy/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687523303-y9n91w.webp
TB-4 10mg,Recovery & Healing,$110,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1iiFFZCQOikzHEJDs7aPSRI2HpsD3xQrf/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687508091-1bg9m2.webp
SUPER Human Amino Blend 10ml,Recovery & Healing,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780734974264-silfqo.webp
